Tweet,Polarity,Subjectivity
"RT @TonyGonzales4TX: Video of when I was in downtown El Paso yesterday. Police officers told me, “Tony don’t be here unless you have to - t…",0.0,0.0
"Video: COVID-19 health emergency over
https://t.co/XDssNQTlIM",0.0,0.0
"RT @Reuters: COVID no longer constitutes a public health emergency, the WHO announced, in a major step towards the end of the pandemic that…",0.03125,0.2833333333333333
RT @ReesiePeacie: ASYMPTOMATIC CASES EXIST. YOU CAN BE SICK AND NOT KNOW IT. AND SINCE MOST DO NOT MASK AND YOU WON'T KNOW UNLESS YOU TEST…,-0.10714285714285715,0.6785714285714286
"RT @WHO: @DrTedros ""We owe it to those we have lost to leverage those investments; to build on those capacities; to learn those lessons, an…",0.0,0.0
"RT @JournoResource: When scholars examined the rate at which kids went to hospital ERs after attempting suicide, they found it rose 22% acr…",0.6,0.95
"RT @stkirsch: Laura Jeffery, an embalmer in Ontario, Canada just told me that at one point after the COVID vax rollout she recalls 8 out of…",0.0,0.0
@POTUS Lol fake news.. no mention of covid.. sad that most of your followers believe this shit,0.020000000000000007,0.8
"RT @JoeSamaritan: @Freetob44 @RachelNotley @bcndp  
BC NDP extended the covid state of emergency last month, stating the covid vax prevents…",0.0,0.06666666666666667
"VIDEO: Clashes on the #Mexico 🇲🇽 / #USA 🇺🇸 border at #Juarez/#ElPaso as an estimated 35,000 migrants wait to cross once Title 42 #Covid laws expire next week. https://t.co/5vfrXwTUl8 #Biden #migrants #TomorrowsPapersToday #BidenWorstPresidentEver",0.0,0.0
RT @The_Gloria_Sun: What is going on today? Walensky steps down as CDC director AND the WHO announces the end of COVID as a PHEIC (public h…,-0.07777777777777779,0.17777777777777778
"RT @slk55again: Australian Senator Tells the World that COVID-19 was ‘All Bullsh*t’, Vows to Hunt Down Guilty https://t.co/Sf5YZl3W4l",-0.21851851851851853,0.42962962962962964
RT @jlz0z: If you want to die from COVID then the best European country to live in is the UK.  If you're wondering which Nordic country wou…,0.37878787878787873,0.26666666666666666
@IbaraEleven If nothing else… the comments and retweets on this provide a solid list of people to block. Jesus Christ covid didn’t smack us hard enough.,-0.09722222222222222,0.38055555555555554
"RT @DrLoupis: “Under Walensky, the CDC has made multiple false statements on COVID-19, including exaggerating the effectiveness of COVID-19…",-0.20000000000000004,0.3
"@avierkant If it were Long Covid, I wonder what are the odds she'd say so.",-0.05,0.4
"@meganranney @RWalensky @CDCDirector Shocking to see Walensky leaving CDC abruptly, feel oddly disenfranchised suddenly as I understood where Walensky was coming from, Twitter bashing of CDC's Walensky was out of control, IMO, like it was toxic or something . . . I think just displaced anger people had about COVID.",-0.3983333333333333,0.5900000000000001
@berman_allen @ai6yrham @CFagan1987 @BolognaFishMD @Michael59503746 @TheChefsGardens She has Long COVID. It's pretty obvious.,0.06666666666666667,0.6333333333333333
